Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0112431,4,2000-10-08,Babe,https://www.imdb.com/title/tt0112431/,movie,6.7,91,1995,"Comedy, Drama, Family",113232,1995-08-04,Chris Noonan
tt0112471,8,2015-11-23,Before Sunrise,https://www.imdb.com/title/tt0112471/,movie,8.1,101,1995,"Drama, Romance",254359,1995-01-19,Richard Linklater
tt0112556,8,2006-04-26,Le bonheur est dans le pré,https://www.imdb.com/title/tt0112556/,movie,7.0,106,1995,Comedy,2589,1995-12-06,Étienne Chatiliez
tt0112573,9,2002-07-05,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.3,178,1995,"Biography, Drama, History, War",928730,1995-05-18,Mel Gibson
tt0112579,10,2000-06-05,The Bridges of Madison County,https://www.imdb.com/title/tt0112579/,movie,7.6,135,1995,"Drama, Romance",69272,1995-06-02,Clint Eastwood
tt1125849,9,2009-02-28,The Wrestler,https://www.imdb.com/title/tt1125849/,movie,7.9,109,2008,"Drama, Sport",283581,2008-09-05,Darren Aronofsky
tt0112682,9,2001-04-12,La cité des enfants perdus,https://www.imdb.com/title/tt0112682/,movie,7.5,112,1995,"Fantasy, Sci-Fi",63218,1995-05-17,"Jean-Pierre Jeunet, Marc Caro"
tt0112740,7,2000-04-11,Crimson Tide,https://www.imdb.com/title/tt0112740/,movie,7.3,116,1995,"Action, Drama, Thriller, War",97220,1995-05-12,Tony Scott
tt0112817,10,2001-04-05,Dead Man,https://www.imdb.com/title/tt0112817/,movie,7.6,121,1995,"Adventure, Drama, Fantasy, Western",87158,1995-05-27,Jim Jarmusch
tt0112818,8,2002-10-25,Dead Man Walking,https://www.imdb.com/title/tt0112818/,movie,7.5,122,1995,"Crime, Drama",85793,1995-12-29,Tim Robbins
